severity,component,finding,evidence,corrected_baseline_action
critical,spatial_support,"The original script projects 0.25-degree UTCI directly to a 3-km grid, creating a display/analysis resolution unsupported by the coarsest source.","UTCI input has 0.25-degree cells; original script line 38 uses project(..., r_built, method='bilinear') where r_built is 3 km.","Corrected script aggregates every continuous input to a 30-km EPSG:3035 template."
critical,utci_definition,"The original map aggregates moderate (26-32 C) and strong (>=32 C) heat hours although the source-feature script declares hours_strong as its primary index.","Heatwaves/scripts/3_calculate_utci_heatstress_2022.R documents hours_strong as PRIMARY; original profile script sums hours_moderate + hours_strong.","Corrected script uses hours_strong only and labels it explicitly."
critical,posthoc_smoothing,"A 3x3 focal modal filter changes class assignments after K-means but profile means and silhouette diagnose the unsmoothed fit.","Original lines 82-85 create r_smooth after profiles are calculated; displayed classes are therefore not the fitted assignments.","Corrected map renders fitted 30-km assignments without focal smoothing."
critical,reproducibility,"The existing original profile-summary PNG is not consistent with the current script/input units and must be treated as unreproducible.","Original PNG labels crop/built as percent while plotted values are fractions or implausible values; rerun means reported by parent audit differ from image.","Corrected script writes raw-unit profiles CSV and a matching profile plot."
major,cluster_labels,"Original labels are hard-coded to arbitrary K-means identifiers and assert unsupported geographic/causal terms such as coastal density and vulnerability.","K-means cluster numbers have no inherent meaning; original legend names do not follow automatically from the centres.","Corrected labels are derived from standardised fitted profile means and title calls this an exposure-interface typology."
major,spatial_scope,"The original script has no explicit analytic land/study mask; it relies on complete raster overlap and only crops borders for presentation.","Original df is as.data.frame(stk, na.rm=TRUE); no country/land mask is applied before clustering.","Corrected script masks documented GISCO European countries before complete-case selection."
major,utci_missingness,"The source calculation retains hours_valid because UTCI can be unavailable; the original clustering ignores this coverage information.","UTCI NetCDF contains hours_valid; original script does not use it.","Corrected baseline requires >=95% valid UTCI hours and records the threshold."
major,units,"Cropland is stored as a 0-1 fraction while original profile axis says percent; WSF3D built fraction is percent.","crop_frac source preparation divides by 100; original profile labels both as %.","Corrected profile plot converts cropland to percent for reporting and keeps built fraction as percent."
moderate,k_selection,"Selecting k only by a silhouette sample is a diagnostic, not evidence of natural clusters; conventional K-means also imposes no contiguity constraint.","Original code tests k=3:6 on 10000 cells and smooths afterwards.","Corrected baseline evaluates k=2:6 on a fixed 5000-cell equal-area sample, exports diagnostics, and captions the result as exploratory/non-spatial."

